customer_product_id,customer_key,product_key,category_key,category_name,acquisition_date,status
1,1,6,3,Solar & Storage,2025-09-09,Active
2,2,7,3,Solar & Storage,2022-02-09,Active
3,3,8,3,Solar & Storage,2023-06-19,Active
4,4,7,3,Solar & Storage,2024-10-22,Active
5,5,6,3,Solar & Storage,2024-06-20,Active
6,7,6,3,Solar & Storage,2024-08-30,Active
7,8,6,3,Solar & Storage,2022-09-03,Active
8,9,7,3,Solar & Storage,2022-05-02,Active
9,10,7,3,Solar & Storage,2025-06-03,Active
10,12,8,3,Solar & Storage,2023-09-20,Active
11,13,7,3,Solar & Storage,2024-05-01,Active
12,14,8,3,Solar & Storage,2022-10-19,Active
13,15,6,3,Solar & Storage,2025-11-12,Inactive
14,16,8,3,Solar & Storage,2024-07-06,Active
15,17,8,3,Solar & Storage,2024-02-02,Active
16,19,6,3,Solar & Storage,2025-01-02,Active
17,20,8,3,Solar & Storage,2022-08-16,Active
18,21,7,3,Solar & Storage,2023-05-10,Active
19,23,7,3,Solar & Storage,2025-09-20,Active
20,25,6,3,Solar & Storage,2022-09-28,Active
21,26,6,3,Solar & Storage,2025-06-16,Active
22,27,7,3,Solar & Storage,2022-09-05,Active
23,28,8,3,Solar & Storage,2024-05-25,Active
24,30,6,3,Solar & Storage,2023-01-30,Active
25,31,7,3,Solar & Storage,2023-09-29,Active
26,33,8,3,Solar & Storage,2023-03-14,Active
27,36,7,3,Solar & Storage,2023-03-10,Active
28,37,6,3,Solar & Storage,2023-03-11,Active
29,38,6,3,Solar & Storage,2023-01-24,Active
30,39,8,3,Solar & Storage,2023-02-26,Active
31,40,8,3,Solar & Storage,2024-10-08,Active
32,42,8,3,Solar & Storage,2023-09-01,Active
33,43,6,3,Solar & Storage,2023-07-02,Active
34,44,7,3,Solar & Storage,2023-09-09,Active
35,45,8,3,Solar & Storage,2025-06-25,Active
36,46,7,3,Solar & Storage,2022-03-22,Active
37,47,6,3,Solar & Storage,2023-08-13,Active
38,48,7,3,Solar & Storage,2022-12-26,Active
39,49,7,3,Solar & Storage,2025-07-06,Active
40,50,7,3,Solar & Storage,2022-02-09,Active
41,51,6,3,Solar & Storage,2022-08-22,Active
42,52,6,3,Solar & Storage,2023-11-08,Active
43,53,7,3,Solar & Storage,2023-07-29,Active
44,54,7,3,Solar & Storage,2023-07-19,Active
45,59,6,3,Solar & Storage,2024-10-03,Active
46,62,7,3,Solar & Storage,2025-11-05,Active
47,63,6,3,Solar & Storage,2023-06-06,Active
48,65,7,3,Solar & Storage,2024-11-14,Active
49,66,8,3,Solar & Storage,2022-04-15,Active
50,67,6,3,Solar & Storage,2022-11-14,Active
51,68,6,3,Solar & Storage,2024-10-23,Active
52,69,6,3,Solar & Storage,2025-01-09,Active
53,70,7,3,Solar & Storage,2022-11-03,Active
54,71,7,3,Solar & Storage,2023-02-19,Active
55,72,8,3,Solar & Storage,2023-07-04,Active
56,73,6,3,Solar & Storage,2025-03-04,Active
57,75,8,3,Solar & Storage,2024-05-30,Active
58,77,7,3,Solar & Storage,2022-11-24,Active
59,79,6,3,Solar & Storage,2023-11-21,Active
60,81,7,3,Solar & Storage,2023-12-05,Active
61,82,7,3,Solar & Storage,2025-02-24,Active
62,84,6,3,Solar & Storage,2023-03-22,Active
63,85,7,3,Solar & Storage,2024-12-24,Active
64,86,6,3,Solar & Storage,2025-07-30,Active
65,87,7,3,Solar & Storage,2022-09-04,Active
66,88,6,3,Solar & Storage,2024-01-15,Active
67,89,7,3,Solar & Storage,2025-02-16,Active
68,90,8,3,Solar & Storage,2022-04-16,Active
